CURRENT_ENERGY_RATING,below_c,LODGEMENT_DATE,PROPERTY_TYPE,BUILT_FORM,AGE_BAND_CLEAN,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,MAIN_FUEL_CAT,GLAZED_AREA,WALL_CATEGORY,ROOF_CATEGORY,WINDOW_CATEGORY,HEATING_CATEGORY,LOW_ENERGY_LIGHTING,MECHANICAL_VENTILATION,REPORT_TYPE,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,FLOOR_HEIGHT
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,73.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,43.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,House,Semi-Detached,2012 onwards,58.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
C,0,2022-01-06,House,Semi-Detached,1950-1966,99.0,5.0,Mains gas,More Than Typical,Insulated,200-299 mm,Full double glazing,Gas boiler,81.0,natural,100,0.0,N,2.42
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,62.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,59.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
D,1,2022-01-06,House,Mid-Terrace,before 1900,72.0,4.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,71.0,natural,100,0.0,N,2.56
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,62.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,House,Semi-Detached,2012 onwards,58.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,53.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
D,1,2022-01-06,House,Mid-Terrace,before 1900,65.0,6.0,Mains gas,Normal,No insulation,300+ mm,Full double glazing,Gas boiler,20.0,natural,100,0.0,N,2.6
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,59.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,43.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,35.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,67.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,53.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
C,0,2022-01-06,Flat,End-Terrace,1950-1966,45.0,3.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.34
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,67.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,59.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
C,0,2022-01-06,House,End-Terrace,1976-1982,70.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.34
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,73.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
D,1,2022-01-06,House,Mid-Terrace,before 1900,68.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.54
B,0,2022-01-06,House,Semi-Detached,2012 onwards,58.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
D,1,2022-01-06,House,Semi-Detached,1950-1966,83.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,60.0,natural,100,0.0,N,2.4
C,0,2022-01-07,House,End-Terrace,1930-1949,73.0,4.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,44.0,natural,100,0.0,N,2.49
B,0,2022-01-07,Flat,Detached,2007-2011,60.0,3.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,29.0,natural,100,0.0,Y,2.2
C,0,2022-01-07,Flat,Detached,2007-2011,57.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.27
C,0,2022-01-07,House,End-Terrace,1976-1982,85.0,6.0,Mains gas,Normal,Insulated,100-199 mm,Partial/mostly double glazing,Gas boiler,33.0,natural,100,0.0,N,2.32
C,0,2022-01-07,House,Mid-Terrace,2007-2011,61.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,25.0,natural,100,0.0,N,2.37
C,0,2022-01-07,Flat,Detached,1976-1982,71.0,3.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.48
C,0,2022-01-07,Flat,Semi-Detached,1976-1982,47.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.43
C,0,2022-01-07,Flat,Mid-Terrace,1930-1949,42.0,1.0,Electricity,Normal,Insulated,Insulated - unspecified,Full double glazing,Heat pump,100.0,natural,100,0.0,N,2.2
E,1,2022-01-07,House,Detached,1950-1966,122.0,7.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.39
D,1,2022-01-07,House,Mid-Terrace,1950-1966,72.0,5.0,Mains gas,Normal,Insulated,No insulation,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.45
B,0,2022-01-07,Flat,Mid-Terrace,2007-2011,53.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,67.0,natural,100,0.0,N,2.29
D,1,2022-01-07,Flat,Semi-Detached,1900-1929,31.0,2.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.5
C,0,2022-01-07,House,Semi-Detached,2003-2006,61.0,2.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,75.0,natural,100,0.0,N,3.7
C,0,2022-01-07,House,Mid-Terrace,before 1900,81.0,5.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,91.0,natural,100,0.0,N,2.54
C,0,2022-01-08,Flat,End-Terrace,before 1900,67.0,1.0,Mains gas,Normal,No insulation,Insulated - unspecified,Full double glazing,Gas warm-air/room heating,100.0,natural,100,0.0,N,2.2
C,0,2022-01-09,House,Mid-Terrace,1900-1929,70.0,5.0,Mains gas,Normal,No insulation,200-299 mm,Single glazing,Gas boiler,100.0,natural,100,0.0,N,2.52
E,1,2022-01-09,Flat,Mid-Terrace,1950-1966,37.0,2.0,Electricity,Normal,No insulation,No insulation,Full double glazing,Electric storage heaters,100.0,natural,100,0.0,N,2.32
C,0,2022-01-10,Flat,Mid-Terrace,1900-1929,31.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.67
D,1,2022-01-10,Bungalow,End-Terrace,1950-1966,38.0,2.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,50.0,natural,100,0.0,N,2.42
D,1,2022-01-10,House,Semi-Detached,1976-1982,70.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.37
D,1,2022-01-10,House,End-Terrace,1900-1929,118.0,8.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.4
D,1,2022-01-10,House,End-Terrace,1930-1949,70.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,56.0,natural,100,0.0,N,2.47
