CURRENT_ENERGY_RATING,below_c,LODGEMENT_DATE,PROPERTY_TYPE,BUILT_FORM,AGE_BAND_CLEAN,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,MAIN_FUEL_CAT,GLAZED_AREA,WALL_CATEGORY,ROOF_CATEGORY,WINDOW_CATEGORY,HEATING_CATEGORY,LOW_ENERGY_LIGHTING,MECHANICAL_VENTILATION,REPORT_TYPE,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,FLOOR_HEIGHT
D,1,2022-04-27,Flat,Mid-Terrace,1967-1975,79.0,5.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.4
C,0,2022-04-27,Flat,Semi-Detached,1930-1949,48.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,25.0,natural,100,0.0,N,2.46
C,0,2022-04-27,House,Mid-Terrace,2003-2006,119.0,6.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,94.0,natural,100,0.0,N,2.4
C,0,2022-04-27,House,Semi-Detached,1930-1949,82.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,73.0,natural,100,0.0,N,2.42
C,0,2022-04-27,House,Semi-Detached,1950-1966,80.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,79.0,natural,100,0.0,N,2.4
D,1,2022-04-27,Flat,Semi-Detached,1950-1966,65.0,3.0,Mains gas,Normal,No insulation,No insulation,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.27
C,0,2022-04-27,Flat,Enclosed Mid-Terrace,before 1900,25.0,1.0,Electricity,Normal,No insulation,No exposed roof / premises above,Secondary glazing,Electric storage heaters,50.0,natural,100,0.0,N,2.74
E,1,2022-04-27,House,Detached,1900-1929,123.0,6.0,Mains gas,Normal,No insulation,100-199 mm,Secondary glazing,Gas boiler,7.0,natural,100,0.0,Y,2.51
C,0,2022-04-27,Flat,Detached,1976-1982,56.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,75.0,natural,100,0.0,N,2.4
C,0,2022-04-27,House,Semi-Detached,2012 onwards,134.0,8.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,93.0,natural,100,0.0,Y,2.29
C,0,2022-04-28,House,Mid-Terrace,1950-1966,90.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,75.0,natural,100,0.0,N,2.44
C,0,2022-04-28,Flat,Semi-Detached,1996-2002,56.0,3.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.42
C,0,2022-04-28,Flat,Mid-Terrace,1950-1966,63.0,3.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.42
C,0,2022-04-28,Bungalow,Detached,2003-2006,122.0,5.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,45.0,natural,100,0.0,N,2.36
C,0,2022-04-28,Flat,Mid-Terrace,1900-1929,71.0,3.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Single glazing,Gas boiler,100.0,natural,100,0.0,N,2.58
C,0,2022-04-28,House,Semi-Detached,1976-1982,68.0,4.0,Mains gas,Normal,Insulated,<100 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.47
C,0,2022-04-28,Flat,Semi-Detached,1950-1966,61.0,3.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,75.0,natural,100,0.0,N,2.43
C,0,2022-04-28,Maisonette,Semi-Detached,1996-2002,70.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.42
F,1,2022-04-28,Flat,Mid-Terrace,before 1900,48.0,2.0,Electricity,Normal,No insulation,No insulation,Full double glazing,Electric room/resistance heating,100.0,natural,100,0.0,N,2.36
D,1,2022-04-28,House,Detached,1976-1982,120.0,7.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,25.0,natural,100,0.0,N,2.37
C,0,2022-04-28,Flat,Semi-Detached,1996-2002,56.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.42
C,0,2022-04-28,Maisonette,Semi-Detached,1996-2002,70.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.42
B,0,2022-04-28,House,Semi-Detached,1983-1990,75.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,27.0,natural,100,45.0,N,2.36
D,1,2022-04-28,Flat,Detached,1983-1990,47.0,2.0,Mains gas,Normal,Insulated,<100 mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.35
D,1,2022-04-28,House,End-Terrace,1900-1929,76.0,5.0,Mains gas,Normal,No insulation,No insulation,Full double glazing,Gas boiler,80.0,natural,100,0.0,N,2.4
D,1,2022-04-29,Flat,Detached,1976-1982,45.0,2.0,Mains gas,Normal,Insulated,<100 mm,Full double glazing,Gas boiler,67.0,natural,100,0.0,N,2.37
D,1,2022-04-29,Flat,End-Terrace,1967-1975,65.0,3.0,Mains gas,Normal,Insulated,Limited insulation,Full double glazing,Gas boiler,25.0,natural,100,0.0,N,2.52
C,0,2022-04-29,Flat,Mid-Terrace,1900-1929,55.0,3.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.46
D,1,2022-04-29,House,Mid-Terrace,1900-1929,70.0,4.0,Mains gas,Normal,No insulation,No insulation,Full double glazing,Gas boiler,70.0,natural,100,0.0,N,2.4
D,1,2022-04-29,Bungalow,Detached,1950-1966,58.0,3.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,50.0,natural,100,0.0,N,2.3
D,1,2022-04-29,House,Mid-Terrace,before 1900,114.0,5.0,Mains gas,Normal,No insulation,200-299 mm,Partial/mostly double glazing,Gas boiler,58.0,natural,100,0.0,N,2.07
C,0,2022-04-29,House,Mid-Terrace,1976-1982,74.0,4.0,Mains gas,Normal,Insulated,Limited insulation,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.34
C,0,2022-04-29,Flat,Mid-Terrace,1976-1982,58.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,50.0,natural,100,0.0,N,2.36
E,1,2022-04-29,Flat,Mid-Terrace,1967-1975,46.0,3.0,Electricity,Normal,No insulation,Limited insulation,Full double glazing,Electric room/resistance heating,100.0,natural,100,0.0,N,2.2
D,1,2022-04-29,House,Mid-Terrace,1900-1929,90.0,5.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,80.0,natural,100,0.0,N,2.4
D,1,2022-04-29,House,Mid-Terrace,before 1900,58.0,4.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,92.0,natural,100,0.0,N,2.39
C,0,2022-04-29,House,Mid-Terrace,before 1900,90.0,6.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,44.0,natural,100,0.0,N,2.29
C,0,2022-04-29,Flat,Semi-Detached,1967-1975,59.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,33.0,natural,100,0.0,N,2.39
D,1,2022-04-30,Flat,Mid-Terrace,before 1900,82.0,4.0,Electricity,Normal,No insulation,200-299 mm,Full double glazing,Electric storage heaters,86.0,natural,100,0.0,N,2.48
E,1,2022-04-30,House,Semi-Detached,1976-1982,112.0,4.0,Electricity,Normal,Partial/limited insulation,Limited insulation,Full double glazing,Electric storage heaters,100.0,natural,100,0.0,N,2.36
B,0,2022-04-30,Flat,Mid-Terrace,2007-2011,70.0,3.0,Electricity,Normal,Insulated,No exposed roof / premises above,Full double glazing,Electric room/resistance heating,44.0,natural,100,0.0,N,2.35
C,0,2022-04-30,Flat,Mid-Terrace,2003-2006,50.0,2.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.26
E,1,2022-04-30,House,Semi-Detached,1930-1949,98.0,5.0,Electricity,Normal,No insulation,200-299 mm,Partial/mostly double glazing,Electric storage heaters,100.0,natural,100,0.0,N,2.29
D,1,2022-04-30,House,End-Terrace,1930-1949,73.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,90.0,natural,100,0.0,N,2.36
C,0,2022-05-02,Flat,Semi-Detached,2007-2011,52.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.34
C,0,2022-05-02,Flat,Detached,2007-2011,53.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.36
C,0,2022-05-02,Flat,Semi-Detached,1930-1949,82.0,3.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.45
D,1,2022-05-03,House,End-Terrace,1991-1995,55.0,4.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.19
C,0,2022-05-03,Maisonette,End-Terrace,1967-1975,83.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,63.0,natural,100,0.0,N,2.34
C,0,2022-05-03,House,End-Terrace,1991-1995,73.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.4
C,0,2022-05-03,Flat,Semi-Detached,2007-2011,55.0,2.0,Electricity,Normal,Insulated,No exposed roof / premises above,Full double glazing,Electric underfloor,67.0,natural,100,0.0,N,2.36
C,0,2022-05-03,House,Mid-Terrace,before 1900,72.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,78.0,natural,100,0.0,N,2.52
D,1,2022-05-03,House,Mid-Terrace,before 1900,65.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.47
C,0,2022-05-03,Flat,Mid-Terrace,1983-1990,56.0,3.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.36
C,0,2022-05-03,House,Mid-Terrace,before 1900,71.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,89.0,natural,100,0.0,N,2.52
D,1,2022-05-03,House,End-Terrace,before 1900,72.0,3.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,0.0,natural,100,0.0,N,2.4
C,0,2022-05-03,House,Mid-Terrace,1950-1966,90.0,4.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,58.0,natural,100,0.0,N,2.43
C,0,2022-05-03,House,Mid-Terrace,2003-2006,142.0,5.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.4
D,1,2022-05-03,House,Semi-Detached,1930-1949,114.0,5.0,Mains gas,More Than Typical,No insulation,100-199 mm,Partial/mostly double glazing,Gas boiler,93.0,natural,100,0.0,N,2.48
C,0,2022-05-04,House,Mid-Terrace,1967-1975,75.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.38
C,0,2022-05-04,Flat,Mid-Terrace,1983-1990,46.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,91.0,natural,100,0.0,N,2.33
B,0,2022-05-04,House,Detached,2012 onwards,117.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.32
C,0,2022-05-04,Flat,End-Terrace,1930-1949,50.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.48
D,1,2022-05-04,Flat,End-Terrace,1967-1975,25.0,1.0,Electricity,Normal,Partial/limited insulation,No exposed roof / premises above,Full double glazing,Electric room/resistance heating,100.0,natural,100,0.0,N,2.3
D,1,2022-05-04,Maisonette,Mid-Terrace,1950-1966,78.0,4.0,Mains gas,Normal,Insulated,No insulation,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.38
C,0,2022-05-04,Bungalow,Detached,1967-1975,95.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.38
D,1,2022-05-04,House,Mid-Terrace,1900-1929,84.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.59
D,1,2022-05-04,House,Semi-Detached,1950-1966,82.0,4.0,Mains gas,Normal,Insulated,No insulation,Full double glazing,Gas boiler,18.0,natural,100,0.0,N,2.43
C,0,2022-05-04,Maisonette,End-Terrace,1967-1975,77.0,3.0,Mains gas,Normal,Partial/limited insulation,Limited insulation,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.3
D,1,2022-05-04,House,End-Terrace,before 1900,69.0,4.0,Mains gas,Normal,No insulation,300+ mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.3
D,1,2022-05-04,House,End-Terrace,1967-1975,75.0,4.0,Mains gas,Normal,Partial/limited insulation,Limited insulation,Full double glazing,Gas boiler,20.0,natural,100,0.0,N,2.37
B,0,2022-05-04,Flat,Semi-Detached,2007-2011,48.0,2.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,67.0,natural,100,0.0,Y,2.24
B,0,2022-05-04,House,Detached,2012 onwards,141.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.32
E,1,2022-05-04,House,Semi-Detached,1967-1975,86.0,5.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,44.0,natural,100,0.0,N,2.4
C,0,2022-05-04,House,Mid-Terrace,before 1900,70.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.5
B,0,2022-05-04,House,Detached,2012 onwards,117.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.32
F,1,2022-05-05,House,Mid-Terrace,before 1900,58.0,4.0,Other,Normal,No insulation,100-199 mm,Full double glazing,Electric room/resistance heating,0.0,natural,100,0.0,N,2.46
C,0,2022-05-05,House,Semi-Detached,1967-1975,87.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,25.0,natural,100,0.0,N,2.3
D,1,2022-05-05,House,Semi-Detached,1950-1966,85.0,6.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.42
D,1,2022-05-05,Flat,End-Terrace,before 1900,50.0,2.0,Mains gas,Normal,No insulation,No insulation,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.44
D,1,2022-05-05,House,Detached,1976-1982,77.0,4.0,Mains gas,Normal,Partial/limited insulation,Limited insulation,Full double glazing,Gas boiler,55.0,natural,100,0.0,N,2.29
D,1,2022-05-05,House,Mid-Terrace,1900-1929,70.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,75.0,natural,100,0.0,N,2.52
C,0,2022-05-05,House,Mid-Terrace,1950-1966,68.0,4.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.45
C,0,2022-05-05,Flat,Mid-Terrace,1983-1990,39.0,2.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,80.0,natural,100,0.0,N,2.36
B,0,2022-05-05,House,Detached,2012 onwards,151.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.33
A,0,2022-05-05,House,Detached,2012 onwards,143.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.33
C,0,2022-05-05,House,Mid-Terrace,1900-1929,71.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,70.0,natural,100,0.0,N,2.4
C,0,2022-05-06,Flat,Detached,1967-1975,56.0,3.0,Gas - community,Normal,Insulated,No exposed roof / premises above,Full double glazing,Community heating,83.0,natural,100,0.0,N,2.36
D,1,2022-05-06,Flat,Semi-Detached,1930-1949,50.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,67.0,natural,100,0.0,N,2.51
C,0,2022-05-06,Flat,Mid-Terrace,1950-1966,59.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,67.0,natural,100,0.0,N,2.44
D,1,2022-05-06,House,Mid-Terrace,1900-1929,74.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Partial/mostly double glazing,Gas boiler,64.0,natural,100,0.0,N,2.56
B,0,2022-05-06,House,Detached,2003-2006,99.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,93.0,natural,100,40.0,N,2.37
D,1,2022-05-06,House,Mid-Terrace,1900-1929,102.0,5.0,Mains gas,Normal,No insulation,<100 mm,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.54
C,0,2022-05-06,Maisonette,End-Terrace,1900-1929,69.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,71.0,natural,100,0.0,N,2.45
C,0,2022-05-06,House,Mid-Terrace,before 1900,74.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.59
D,1,2022-05-06,House,Mid-Terrace,before 1900,116.0,5.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,65.0,natural,100,0.0,N,2.61
C,0,2022-05-06,House,End-Terrace,1930-1949,83.0,4.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,90.0,natural,100,0.0,N,2.43
C,0,2022-05-07,Flat,End-Terrace,2007-2011,79.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.23
D,1,2022-05-07,House,Semi-Detached,1991-1995,70.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,56.0,natural,100,0.0,N,2.32
D,1,2022-05-07,Flat,Mid-Terrace,1976-1982,34.0,2.0,Mains gas,Normal,Insulated,Limited insulation,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.41
D,1,2022-05-07,House,Mid-Terrace,before 1900,118.0,5.0,Mains gas,More Than Typical,No insulation,300+ mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.34
C,0,2022-05-07,House,Semi-Detached,2012 onwards,62.0,4.0,Mains gas,Normal,Insulated,200-299 mm,High-performance glazing,Gas boiler,100.0,natural,100,0.0,N,2.35
C,0,2022-05-07,Flat,Mid-Terrace,1950-1966,60.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.48
B,0,2022-05-07,Flat,End-Terrace,2007-2011,51.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.3
C,0,2022-05-07,House,Semi-Detached,1967-1975,90.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.29
C,0,2022-05-08,House,Semi-Detached,1930-1949,93.0,5.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,86.0,natural,100,0.0,N,2.55
C,0,2022-05-09,House,End-Terrace,2003-2006,89.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.35
D,1,2022-05-09,House,End-Terrace,1950-1966,83.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,30.0,natural,100,0.0,N,2.47
C,0,2022-05-09,Flat,Semi-Detached,2003-2006,61.0,3.0,Electricity,Normal,Insulated,No exposed roof / premises above,Full double glazing,Electric storage heaters,100.0,natural,100,0.0,N,2.39
C,0,2022-05-09,House,End-Terrace,2003-2006,122.0,5.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,80.0,natural,100,0.0,N,2.35
D,1,2022-05-09,House,Mid-Terrace,before 1900,72.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.58
C,0,2022-05-09,House,Detached,1996-2002,100.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,57.0,natural,100,0.0,N,2.38
C,0,2022-05-09,House,End-Terrace,1930-1949,70.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,67.0,natural,100,0.0,N,2.45
D,1,2022-05-09,House,Mid-Terrace,before 1900,71.0,4.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.32
C,0,2022-05-09,Flat,Semi-Detached,1983-1990,62.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.4
C,0,2022-05-09,House,Mid-Terrace,2003-2006,95.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,41.0,natural,100,0.0,N,2.31
D,1,2022-05-09,House,Mid-Terrace,1900-1929,75.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.49
C,0,2022-05-09,House,End-Terrace,2003-2006,129.0,7.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.31
C,0,2022-05-09,House,End-Terrace,before 1900,45.0,2.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.44
D,1,2022-05-09,House,End-Terrace,1950-1966,62.0,3.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,86.0,natural,100,0.0,N,2.43
C,0,2022-05-09,Flat,End-Terrace,1950-1966,42.0,2.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,67.0,natural,100,0.0,N,2.42
C,0,2022-05-09,House,Semi-Detached,1991-1995,76.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.35
D,1,2022-05-09,House,Mid-Terrace,1950-1966,76.0,4.0,Electricity,Normal,No insulation,200-299 mm,Full double glazing,Electric storage heaters,82.0,natural,100,0.0,N,2.3
D,1,2022-05-09,Bungalow,Detached,1967-1975,70.0,3.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,1.5
C,0,2022-05-09,House,Detached,1991-1995,111.0,7.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.32
C,0,2022-05-09,Maisonette,Mid-Terrace,2003-2006,72.0,4.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,93.0,natural,100,0.0,N,2.23
C,0,2022-05-09,Flat,Mid-Terrace,1991-1995,41.0,2.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.35
C,0,2022-05-10,Flat,Detached,1976-1982,59.0,3.0,Gas - community,Normal,Insulated,200-299 mm,Full double glazing,Community heating,75.0,natural,100,0.0,N,2.41
D,1,2022-05-10,House,Detached,1930-1949,175.0,6.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,91.0,natural,100,0.0,N,2.46
D,1,2022-05-10,House,Semi-Detached,1950-1966,82.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,36.0,natural,100,0.0,Y,2.44
C,0,2022-05-10,House,End-Terrace,1983-1990,78.0,5.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,20.0,natural,100,0.0,N,2.38
C,0,2022-05-10,Flat,Detached,1967-1975,71.0,3.0,Mains gas,Normal,Insulated,<100 mm,Full double glazing,Gas boiler,0.0,natural,100,0.0,N,2.43
E,1,2022-05-10,Flat,Mid-Terrace,1991-1995,45.0,3.0,Electricity,Normal,Insulated,No exposed roof / premises above,Full double glazing,Electric room/resistance heating,100.0,natural,100,0.0,N,2.21
D,1,2022-05-10,House,End-Terrace,1950-1966,111.0,8.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.4
C,0,2022-05-10,House,Detached,1991-1995,253.0,7.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.82
D,1,2022-05-10,Flat,Semi-Detached,1950-1966,49.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.49
C,0,2022-05-10,Flat,Semi-Detached,1967-1975,58.0,3.0,Gas - community,Normal,Insulated,100-199 mm,Full double glazing,Community heating,100.0,natural,100,0.0,N,2.38
D,1,2022-05-10,Maisonette,Mid-Terrace,1950-1966,75.0,4.0,Mains gas,More Than Typical,No insulation,No insulation,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.36
C,0,2022-05-10,Flat,Semi-Detached,1967-1975,59.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.39
D,1,2022-05-10,Flat,Mid-Terrace,1950-1966,62.0,3.0,Oil,Normal,No insulation,No exposed roof / premises above,Full double glazing,Oil heating,22.0,"mechanical, extract only",100,0.0,N,2.33
C,0,2022-05-10,Flat,Detached,1976-1982,59.0,3.0,Gas - community,Normal,Insulated,100-199 mm,Full double glazing,Community heating,38.0,natural,100,0.0,N,2.34
D,1,2022-05-11,Flat,Mid-Terrace,before 1900,73.0,3.0,Gas - community,Normal,No insulation,No exposed roof / premises above,Full double glazing,Community heating,100.0,natural,100,0.0,N,2.4
C,0,2022-05-11,House,Mid-Terrace,1900-1929,69.0,4.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.6
C,0,2022-05-11,House,Detached,1976-1982,74.0,4.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,60.0,natural,100,0.0,N,2.38
C,0,2022-05-11,House,Detached,1930-1949,219.0,9.0,Mains gas,Normal,Insulated,No insulation,Full double glazing,Gas boiler,95.0,natural,100,20.0,N,2.43
E,1,2022-05-11,House,Mid-Terrace,before 1900,90.0,5.0,Mains gas,Normal,No insulation,200-299 mm,Partial/mostly double glazing,Gas boiler,36.0,natural,100,0.0,N,2.57
C,0,2022-05-11,Flat,Semi-Detached,1930-1949,42.0,2.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,33.0,natural,100,0.0,N,2.53
C,0,2022-05-11,House,Mid-Terrace,1950-1966,111.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.39
B,0,2022-05-11,House,Semi-Detached,2012 onwards,108.0,,Electricity,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Heat pump,100.0,Unknown,101,,Unknown,2.72
